Keyfield,Keyfield,Sample Year,Sample Period,Agency,Date,Season,Station ID,Time,Depth,Latitude,Longitude,Temperature (C) ,Salinity,Total Depth (m),Secchi Depth (m),Secchi as % of Total,Sample Depth (m),Sample Depth as % of Total,pH,Dissolved Oxygen (mg/L),Vol TP filtered (ml),Vol Chl filtered (L),Chl a (ug/L),Chl a EXO (ug/L),Phaeophytin (ug/L),NH4  (uM),PO4  (uM),N+N  (uM),NO3  (uM),NO2  (uM),Si  (uM),DIN  (uM),TDP  (uM),DOP  (uM),TP  (uM)
7CGW-01 surface,7CGW-01 Surf,2016-2017,A,Ransom Everglades,7/6/2017,Wet,CGW-01,10:38,Surface,25.70397,-80.24726,31.4,24,3.55,2.6,0.73,0.5,0.14,7.74,4.32,9999,0.1,1.49,9999,0.77,2.263,0.148,4.167,3.986,0.181,13.309,6.43,9999,9999,9999
8CGW-01 surface,8CGW-01 Surf,2016-2017,A,UMASS,8/21/2017,Wet,CGW-01,11:30,Surface,25.70397,-80.24726,31.4,25.7,9999,9999,9999,9999,9999,9999,9999,9999,0.1,2.38,9999,0.98,3.479,0.321,4.264,3.965,0.299,14.987,7.743,9999,9999,9999
9CGW-01Surface,9CGW-01 Surf,2016-2017,A,UMASS,9/28/2017,Wet,CGW-01,7:20,Surface,25.70397,-80.24726,29.6,25.9,9999,9999,9999,9999,9999,9999,9999,1000,0.1,4.405,9999,1.859,6.17,0.01,24.55,24,0.55,41.2,30.72,0.1,9999,9999
10CGW-01Surface,10CGW-01 Surf,2016-2017,A,UMASS,10/5/2017,Wet,CGW-01,11:30,Surface,25.70397,-80.24726,26.6,25.6,9999,9999,9999,9999,9999,9999,9999,1000,0.1,3.23,9999,2.06,9.11,0.08,11.52,10.81,0.71,43.2,20.62,0.11,9999,9999
11CGW-01Surface,11CGW-01 surf,2016-2017,A,UMASS,11/17/2017,Dry,CGW-01,,Surface,25.70397,-80.24726,9999,28.56,9999,9999,9999,9999,9999,9999,9999,1000,0.1,1.147,9999,0.399,3.61,0.1,9.39,8.94,0.45,18.2,13,0.21,9999,9999
12CGW-01Surface,12CGW-01 surf,2016-2017,A,UMASS,12/18/2017,Dry,CGW-01,,Surface,25.70397,-80.24726,9999,9999,9999,9999,9999,9999,9999,9999,9999,1000,0.1,2.009,9999,0.73,2.99,0.05,11.41,10.99,0.43,8.6,14.4,0.14,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,9/29/2020,Wet,CGW-01,11:10,Surface,25.70397,-80.24726,30,25.6,5.5,4.8,0.87,0.5,0.09,7.6,5.3,9999,0.15,1.483,9999,0.464,3.78,0.36,25.88,25.38,0.5,40.4,29.66,0.39,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,10/14/2020,Wet,CGW-01,10:19,Surface,25.70397,-80.24726,29.5,22.6,4.7,4,0.85,0.3,0.06,7.73,4.4,9999,0.2,1.218,9999,0.714,4.31,0.17,17.56,17.05,0.51,25.1,21.87,0.25,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,10/28/2020,Wet,CGW-01,10:20,Surface,25.70397,-80.24726,27.8,11.6,4.6,9999,9999,0.5,0.11,7.63,5.76,9999,0.2,2.244,9999,0.735,5.58,0.35,45.95,45.12,0.83,62.5,51.53,0.35,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,11/12/2020,Dry,CGW-01,9:15,Surface,25.70397,-80.24726,26.4,11.2,4.3,9999,9999,0.5,0.12,7.41,4.07,9999,0.2,1.392,9999,0.438,13.22,0.82,40.59,39.82,0.76,82.4,53.81,2.62,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,12/14/2020,Dry,CGW-01,10:55,Surface,25.70397,-80.24726,21.8,26.2,3.7,9999,9999,0.5,0.14,8.09,6.79,9999,0.2,0.988,9999,0.284,2.204,0.21,10.72,10.46,0.27,17.5,12.924,1.09,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,1/27/2021,Dry,CGW-01,NA,Surface,25.70397,-80.24726,18.2,26.7,4,3.5,0.88,0.3,0.08,7.85,7.6,9999,0.15,1.15,9999,0.367,3.214,0.196,10.725,10.525,0.2,15.885,13.939,0.652,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,2/25/2021,Dry,CGW-01,9:52,Surface,25.70397,-80.24726,24.3,26,4.6,4.2,0.91,0.3,0.07,7.94,5.67,9999,0.15,0.885,9999,0.634,3.115,0.22,17.873,17.515,0.358,25.121,20.988,0.521,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,3/25/2021,Dry,CGW-01,9:42,Surface,25.70397,-80.24726,25,29.9,4.7,3.8,0.81,0.3,0.06,8.07,5.5,9999,0.1,1.555,9999,1.303,1.566,0.135,2.354,2.198,0.156,9.498,3.92,1.145,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,4/23/2021,Dry,CGW-01,9:39,Surface,25.70397,-80.24726,27.1,31.1,3.8,3.4,0.89,0.3,0.08,7.96,5.24,9999,0.1,1.297,9999,1.047,2.566,0.149,6.257,6.008,0.249,18.842,8.823,0.602,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,5/24/2021,Dry,CGW-01,10:05,Surface,25.70397,-80.24726,25.7,31.4,4.4,4,0.91,0.3,0.07,7.96,5.68,9999,0.15,0.974,9999,0.866,1.274,0.113,7.783,7.552,0.231,18.991,9.057,0.946,9999,9999
No_keyfield,No_keyfield,2020-2021,B,FIU/MWK,6/7/2021,Wet,CGW-01,11:57,Surface,25.70397,-80.24726,29.5,28,5.3,2.7,0.51,0.3,0.06,7.82,4.81,9999,0.15,1.888,9999,0.954,2.308,0.273,12.549,12.141,0.408,29.833,14.857,0.728,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,6/23/2021,Wet,CGW-01,10:15,Surface,25.70397,-80.24726,30.7,29.9,3.9,3.9,1,0.3,0.08,7.95,5,9999,0.15,15.8,9999,6.07,2.877,0.232,11.28,10.936,0.344,21.032,14.157,0.888,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,7/21/2021,Wet,CGW-01,9:23,Surface,25.70397,-80.24726,30.9,25,4.4,4.1,0.93,0.3,0.07,9999,9999,9999,0.15,3.046,9999,2.225,3.525,0.099,11.099,10.746,0.353,17.308,14.624,0.701,9999,9999
No_keyfield,No_keyfield,2020-2021,B,FIU/MWK,8/5/2021,Wet,CGW-01,12:08,Surface,25.70397,-80.24726,31,26.6,4.5,3.5,0.78,0.3,0.07,7.71,5.26,9999,0.15,1.949,9999,0.697,4.468,0.633,26.235,27.413,1.178,53.662,30.703,0.792,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,8/19/2021,Wet,CGW-01,9:09,Surface,25.70397,-80.24726,30.7,23.9,4.2,3.8,0.91,3.5,0.83,7.84,4.93,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,9/3/2021,Wet,CGW-01,9:36,Surface,25.70397,-80.24726,31.2,27.5,4.5,3.9,0.87,9999,0,7.59,3.22,9999,0.15,2.309,9999,0.657,5.109,0.445,14.568,15.008,0.44,42.555,19.677,0.493,9999,9999
10CGW-02,10CGW-02,2016-2017,A,Ransom Everglades,10/14/2016,Wet,CGW-02,,Surface,25.70396,-80.24973,9999,30,3.5,3.5,1,1.7,0.49,7.87,9999,9999,0.3,1.05,9999,1.13,3.421,0.223,0.261,0,0.588,7.731,4.009,9999,9999,9999
11CGW-02,11CGW-02,2016-2017,A,Ransom Everglades,11/14/2016,Dry,CGW-02,10:40,Surface,25.70396,-80.24973,25.4,29.5,1.9,1.9,1,1,0.53,8.35,9999,9999,0.3,1.38,9999,1.1,2.341,0.317,2.65,2.136,0.514,11.692,4.991,9999,9999,9999
12CGW-02,12CGW-02,2016-2017,A,Ransom Everglades,12/14/2016,Dry,CGW-02,12:45,Surface,25.70396,-80.24973,31,29.63,9999,3.2,9999,1.5,9999,7.76,9999,9999,0.3,0.74,9999,0.74,6.777,0.215,9.439,8.886,0.553,19.381,16.216,0.663,0.448,9999
1CGW-02,1CGW-02,2016-2017,A,Ransom Everglades,1/13/2017,Dry,CGW-02,12:23,Surface,25.70396,-80.24973,22.5,30,3.9,3,0.77,2,0.51,8.02,9999,9999,0.3,2.1,9999,0.9,2.071,0.192,5.264,4.81,0.454,10.615,7.335,0.353,0.161,9999
2CGW-02,2CGW-02,2016-2017,A,Ransom Everglades,2/10/2017,Dry,CGW-02,10:40,Surface,25.70396,-80.24973,25.3,29,3.1,3.1,1,1.5,0.48,8.03,9999,9999,0.1,0.67,9999,0.63,3.008,0.193,6.438,6.081,0.357,14.882,9.446,1.795,1.602,9999
3CGW-02,3CGW-02,2016-2017,A,Ransom Everglades,3/14/2017,Dry,CGW-02,13:33,Surface,25.70396,-80.24973,24,31,3,9999,9999,1.5,0.5,8.2,9999,9999,0.1,1.3,9999,0.55,2.629,0.029,5.042,4.734,0.308,12.642,7.671,0.604,0.575,9999
4CGW-02,4CGW-02,2016-2017,A,UMASS,4/13/2017,Dry,CGW-02,13:30,Surface,25.70396,-80.24973,26.1,35,3.7,2.1,0.57,1.5,0.41,8.03,9999,9999,0.1,2.22,9999,0.97,1.551,0.06,2.991,2.74,0.251,11.642,4.542,9999,9999,9999
5CGW-02,5CGW-02,2016-2017,A,Ransom Everglades,5/9/2017,Dry,CGW-02,11:40,Surface,25.70396,-80.24973,27.7,31,3.1,2.57,0.83,1.5,0.48,7.85,4.61,9999,0.1,3.06,9999,1.2,4.99,0.478,6.467,6.064,0.403,18.817,11.457,9999,9999,9999
6CGW-02 surface A,6CGW-02 Surf A,2016-2017,A,Ransom Everglades,6/8/2017,Wet,CGW-02,12:07,Surface,25.70396,-80.24973,28.2,19,3.75,2.7,0.72,0.5,0.13,9999,3.34,9999,0.1,1.54,9999,0.57,8.986,0.455,21.424,20.695,0.729,51.333,30.41,9999,9999,9999
6CGW-02 surface B,6CGW-02 Surf B,2016-2017,A,Ransom Everglades,6/23/2017,Wet,CGW-02,11:02,Surface,25.70396,-80.24973,30.8,19,4.2,2,0.48,0.5,0.12,9.23,9999,9999,0.1,1.74,9999,1.21,4.485,0.07,19.071,18.382,0.689,44.077,23.556,9999,9999,9999
7CGW-02 surface,7CGW-02 Surf,2016-2017,A,Ransom Everglades,7/6/2017,Wet,CGW-02,9:11,Surface,25.70396,-80.24973,30.9,20,4.2,3,0.71,0.5,0.12,7.9,4.47,9999,0.1,2.05,9999,1,2.645,0.082,5.401,5.214,0.187,15.138,8.046,9999,9999,9999
8CGW-02 surface,8CGW-02 Surf,2016-2017,A,UMASS,8/21/2017,Wet,CGW-02,10:45,Surface,25.70396,-80.24973,31.3,23.9,9999,9999,9999,9999,9999,9999,9999,9999,0.1,1.07,9999,0.56,5.194,0.748,13.251,12.664,0.587,39.238,18.445,9999,9999,9999
9CGW-02Surface,9CGW-02 Surf,2016-2017,A,UMASS,9/28/2017,Wet,CGW-02,8:10,Surface,25.70396,-80.24973,28.3,22.1,9999,9999,9999,9999,9999,9999,9999,1000,0.1,3.942,9999,1.681,5.52,0.01,13.06,11.61,1.45,48.3,18.58,0.15,9999,9999
10CGW-02Surface,10CGW-02 Surf,2016-2017,A,UMASS,10/5/2017,Wet,CGW-02,11:45,Surface,25.70396,-80.24973,27,23.5,9999,9999,9999,9999,9999,9999,9999,1000,0.1,3.274,9999,1.736,8.94,0.03,12.87,12.31,0.56,45.1,21.8,0.09,9999,9999
11CGW-02Surface,11CGW-02 surf,2016-2017,A,UMASS,11/17/2017,Dry,CGW-02,,Surface,25.70396,-80.24973,9999,22.57,9999,9999,9999,9999,9999,9999,9999,1000,0.1,1.124,9999,0.411,6.13,0.19,16.08,15.67,0.41,31,22.21,0.24,9999,9999
12CGW-02Surface,12CGW-02 surf,2016-2017,A,UMASS,12/18/2017,Dry,CGW-02,,Surface,25.70396,-80.24973,9999,9999,9999,9999,9999,9999,9999,9999,9999,1000,0.1,2.354,9999,0.82,3.23,0.13,51.85,51.21,0.64,31,55.08,0.13,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,9/29/2020,Wet,CGW-02 ,10:30,Surface,25.70396,-80.24973,29.8,26,3.5,3.3,0.94,0.5,0.14,7.52,4.89,9999,0.15,3.128,9999,0.756,3.31,0.14,8.5,8.13,0.37,19.9,11.81,1.02,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,10/14/2020,Wet,CGW-02 ,10:06,Surface,25.70396,-80.24973,29.2,22.3,3.5,3.2,0.91,0.3,0.09,7.7,4.08,9999,0.2,1.226,9999,0.9,4.4,0.21,20.08,19.36,0.72,35.6,24.48,0.21,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,10/28/2020,Wet,CGW-02 ,9:50,Surface,25.70396,-80.24973,27.7,10.5,4,9999,9999,0.5,0.13,7.54,4.87,9999,0.2,1.988,9999,0.693,6,0.7,71.48,70.24,1.24,93,77.48,0.7,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,11/12/2020,Dry,CGW-02 ,8:45,Surface,25.70396,-80.24973,26.4,9.3,3.7,9999,9999,0.5,0.14,7.48,4.13,9999,0.2,1.051,9999,0.43,8.06,0.76,39.58,38.97,0.61,76.2,47.64,0.76,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,12/14/2020,Dry,CGW-02 ,10:40,Surface,25.70396,-80.24973,21.7,26.3,3.8,9999,9999,0.5,0.13,8.06,6.46,9999,0.2,1.156,9999,0.336,2.237,0.28,17.69,17.28,0.41,27,19.927,0.87,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,1/27/2021,Dry,CGW-02 ,NA,Surface,25.70396,-80.24973,15.2,26.8,3.5,3.3,0.93,0.3,0.09,7.89,7.51,9999,0.15,1.181,9999,0.346,3.349,0.174,7.776,7.607,0.169,11.772,11.125,0.473,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,2/25/2021,Dry,CGW-02 ,9:33,Surface,25.70396,-80.24973,24.3,23.2,3.5,3.4,0.97,0.3,0.09,7.93,5.58,9999,0.15,0.832,9999,0.57,2.937,0.315,19.307,18.907,0.4,27.645,22.244,0.605,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,3/25/2021,Dry,CGW-02 ,9:23,Surface,25.70396,-80.24973,24.9,29.6,3.8,3.7,0.97,0.3,0.08,8.01,5.48,9999,0.1,1.699,9999,1.21,1.652,0.156,3.236,3.067,0.169,10.385,4.888,0.456,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,4/23/2021,Dry,CGW-02 ,9:24,Surface,25.70396,-80.24973,27,30.6,3.6,3.3,0.92,0.3,0.08,7.91,4.57,9999,0.1,1.472,9999,1.24,2.317,0.221,7.993,7.701,0.292,21.139,10.31,0.675,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,5/24/2021,Dry,CGW-02 ,9:50,Surface,25.70396,-80.24973,25.4,30.6,3.4,3.4,1,0.3,0.09,7.89,5.49,9999,0.15,0.852,9999,0.456,1.664,0.17,9.149,8.913,0.236,21.856,10.813,0.585,9999,9999
No_keyfield,No_keyfield,2020-2021,B,FIU/MWK,6/7/2021,Wet,CGW-02 ,11:34,Surface,25.70396,-80.24973,29.5,29,3.2,2.7,0.84,0.3,0.09,7.73,3.97,9999,0.15,1.433,9999,0.794,2.654,0.179,8.96,8.553,0.407,27.854,11.614,0.325,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,6/23/2021,Wet,CGW-02 ,10:00,Surface,25.70396,-80.24973,30.5,30,3.4,3.4,1,0.3,0.09,7.86,4.38,9999,0.15,4.96,9999,2.424,3.025,0.223,13.006,12.634,0.372,24.572,16.031,0.532,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,7/21/2021,Wet,CGW-02 ,9:05,Surface,25.70396,-80.24973,31.2,25,3.6,3.4,0.94,0.3,0.08,9999,9999,9999,0.15,2.338,9999,1.925,3.494,0.204,12.8,12.445,0.355,22.544,16.294,0.486,9999,9999
No_keyfield,No_keyfield,2020-2021,B,FIU/MWK,8/5/2021,Wet,CGW-02 ,11:40,Surface,25.70396,-80.24973,30.5,26.8,4,2.5,0.63,0.5,0.13,7.49,3.58,9999,0.15,1.277,9999,0.795,4.418,0.317,9.075,9.476,0.401,36.478,13.493,0.468,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,8/19/2021,Wet,CGW-02 ,9:02,Surface,25.70396,-80.24973,30.4,21.6,3.6,3.2,0.89,3,0.83,7.75,5.43,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,9/3/2021,Wet,CGW-02 ,9:26,Surface,25.70396,-80.24973,30.9,25.1,3.4,3.4,1,9999,0,7.45,2.26,9999,0.15,2.456,9999,0.62,6.036,0.235,6.184,6.809,0.625,45.212,12.22,0.308,9999,9999
10CGW-03,10CGW-03,2016-2017,A,Ransom Everglades,10/14/2016,Wet,CGW-03,,Surface,25.70594,-80.26135,9999,27,3.5,3.4,0.97,1.7,0.49,7.87,9999,9999,0.3,1.29,9999,1.24,3.554,0.37,1.742,1.115,0.627,12.882,5.296,9999,9999,9999
11CGW-03,11CGW-03,2016-2017,A,Ransom Everglades,11/14/2016,Dry,CGW-03,10:00,Surface,25.70594,-80.26135,25.4,31,3.84,3.25,0.85,1.9,0.49,8.27,9999,9999,0.3,1.26,9999,1.1,2.606,0.347,3.48,2.987,0.493,12.771,6.086,9999,9999,9999
12CGW-03,12CGW-03,2016-2017,A,Ransom Everglades,12/14/2016,Dry,CGW-03,11:45,Surface,25.70594,-80.26135,30,23.73,3,3,1,1.5,0.5,7.9,9999,9999,0.3,0.93,9999,0.92,9999,9999,9999,9999,9999,9999,9999,0.541,9999,9999
1CGW-03,1CGW-03,2016-2017,A,Ransom Everglades,1/13/2017,Dry,CGW-03,11:47,Surface,25.70594,-80.26135,22.5,31,3.3,2.64,0.8,1.5,0.45,8.07,9999,9999,0.3,1.73,9999,0.95,1.071,0.876,7.184,6.4,0.784,81.86,8.255,0.416,0,9999
2CGW-03,2CGW-03,2016-2017,A,Ransom Everglades,2/10/2017,Dry,CGW-03,11:15,Surface,25.70594,-80.26135,25.6,30,2.75,2.75,1,1.25,0.45,7.98,9999,9999,0.1,1.09,9999,0.82,3.528,0.169,6.365,6.138,0.227,14.44,9.893,3.364,3.195,9999
3CGW-03,3CGW-03,2016-2017,A,Ransom Everglades,3/14/2017,Dry,CGW-03,13:08,Surface,25.70594,-80.26135,24,32,3,9999,9999,1.5,0.5,7.9,9999,9999,0.1,1.31,9999,0.57,3.928,0.04,7.642,7.196,0.446,15.393,11.57,0.785,0.745,9999
4CGW-03,4CGW-03,2016-2017,A,UMASS,4/13/2017,Dry,CGW-03,14:00,Surface,25.70594,-80.26135,26.6,35,2.7,2.7,1,1.5,0.56,8.02,9999,9999,0.1,2,9999,0.81,1.12,0.204,7.654,7.335,0.319,17.483,8.774,9999,9999,9999
5CGW-03,5CGW-03,2016-2017,A,Ransom Everglades,5/9/2017,Dry,CGW-03,10:55,Surface,25.70594,-80.26135,28,31,2.3,2,0.87,1,0.43,8.11,4.87,9999,0.1,2.02,9999,0.86,5.004,0.767,7.6,7.058,0.542,17.542,12.604,9999,9999,9999
6CGW-03 surface A,6CGW-03 Surf A,2016-2017,A,Ransom Everglades,6/8/2017,Wet,CGW-03,11:28,Surface,25.70594,-80.26135,27.7,9,3.05,9999,9999,0.5,0.16,9999,2.05,9999,0.1,2.55,9999,1.24,21.33,1.082,46.816,46.11,0.706,92.068,68.146,9999,9999,9999
6CGW-03 surface B,6CGW-03 Surf B,2016-2017,A,Ransom Everglades,6/23/2017,Wet,CGW-03,12:34,Surface,25.70594,-80.26135,30.7,10,2.9,1.4,0.48,0.5,0.17,9.09,9999,9999,0.1,4.02,9999,0.83,2.584,0.591,49.156,49.2,0.735,83.804,52.519,9999,9999,9999
7CGW-03 surface,7CGW-03 Surf,2016-2017,A,Ransom Everglades,7/6/2017,Wet,CGW-03,11:57,Surface,25.70594,-80.26135,32.8,14,4,3,0.75,0.5,0.13,7.66,4.68,9999,0.1,2.51,9999,0.88,1.679,0.445,24,23.715,0.285,49.247,25.679,9999,9999,9999
8CGW-03 surface,8CGW-03 Surf,2016-2017,A,UMASS,8/21/2017,Wet,CGW-03,12:26,Surface,25.70594,-80.26135,31.7,18.3,9999,9999,9999,9999,9999,9999,9999,9999,0.1,2.05,9999,0.73,5.752,0.983,16.6,16.098,0.502,48.679,22.352,9999,9999,9999
9CGW-03Surface,9CGW-03 Surf,2016-2017,A,UMASS,9/28/2017,Wet,CGW-03,9:00,Surface,25.70594,-80.26135,28.7,13.3,9999,9999,9999,9999,9999,9999,9999,1000,0.1,2.114,9999,0.698,6.71,0.27,64.95,64.18,0.77,70.4,71.66,0.27,9999,9999
10CGW-03Surface,10CGW-03 Surf,2016-2017,A,UMASS,10/5/2017,Wet,CGW-03,12:00,Surface,25.70594,-80.26135,27,20.5,9999,9999,9999,9999,9999,9999,9999,1000,0.1,2.502,9999,1.206,7.94,0.29,33.18,32.59,0.58,56.8,41.11,0.29,9999,9999
11CGW-03Surface,11CGW-03 surf,2016-2017,A,UMASS,11/17/2017,Dry,CGW-03,,Surface,25.70594,-80.26135,9999,13.53,9999,9999,9999,9999,9999,9999,9999,1000,0.1,0.761,9999,0.318,8.55,0.28,35.5,34.84,0.67,53.8,44.05,0.28,9999,9999
12CGW-03Surface,12CGW-03 surf,2016-2017,A,UMASS,12/18/2017,Dry,CGW-03,,Surface,25.70594,-80.26135,9999,9999,9999,9999,9999,9999,9999,9999,9999,1000,0.1,1.294,9999,0.467,5.29,0.1,32.76,32.42,0.33,14.9,38.05,0.18,9999,9999
No_keyfield,No_keyfield,2020-2021,B,FIU,9/29/2020,Wet,CGW-03,13:16,Surface,25.70594,-80.26135,29.8,12.4,9999,9999,9999,0.3,9999,7.37,3.76,9999,0.15,2.031,9999,0.392,5.04,0.86,46.65,46.16,0.49,43.1,51.69,0.86,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,10/14/2020,Wet,CGW-03,11:06,Surface,25.70594,-80.26135,29.5,17.7,3.3,3.3,1,0.3,0.09,7.58,4.57,9999,0.2,1.499,9999,0.804,4.06,0.69,51.6,51.16,0.45,55.1,55.66,0.69,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,10/28/2020,Wet,CGW-03,11:00,Surface,25.70594,-80.26135,27.9,5.1,3.3,9999,9999,0.5,0.15,7.36,4.7,9999,0.2,1.864,9999,0.389,8.15,1.1,91.06,89.68,1.38,118.2,99.21,1.1,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,11/12/2020,Dry,CGW-03,9:46,Surface,25.70594,-80.26135,26.8,4.7,3.3,9999,9999,0.5,0.15,7.36,3.72,9999,0.2,1.457,9999,0.366,10.37,0.97,48.39,47.69,0.7,104.7,58.76,0.97,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,12/14/2020,Dry,CGW-03,11:25,Surface,25.70594,-80.26135,22.8,20.4,3.8,9999,9999,0.5,0.13,7.88,6.42,9999,0.2,1.1,9999,0.303,1.917,0.7,39.76,39.47,0.29,48.49,41.677,1,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,1/27/2021,Dry,CGW-03,NA,Surface,25.70594,-80.26135,14.6,22.2,4,3.1,0.78,0.3,0.08,7.8,7.72,9999,0.15,0.899,9999,0.433,3.307,0.443,21.598,21.433,0.165,26.115,24.905,0.641,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,2/25/2021,Dry,CGW-03,10:20,Surface,25.70594,-80.26135,24.6,21.7,3.2,3.2,1,0.3,0.09,7.82,5.7,9999,0.15,1.241,9999,0.679,2.074,0.529,40.37,40.057,0.313,45.181,42.444,0.563,9999,9999
